TC (En Bs/USD),N°,Monto,banco,fecha
7.0,0.0,0.0,BANCO BISA,2026-06-26
7.01,0.0,0.0,BANCO BISA,2026-06-26
7.2,0.0,0.0,BANCO BISA,2026-06-26
7.5,0.0,0.0,BANCO BISA,2026-06-26
8.0,0.0,0.0,BANCO BISA,2026-06-26
8.2,0.0,0.0,BANCO BISA,2026-06-26
8.4,0.0,0.0,BANCO BISA,2026-06-26
8.5,12.0,22524.0,BANCO BISA,2026-06-26
8.7,0.0,0.0,BANCO BISA,2026-06-26
8.85,0.0,0.0,BANCO BISA,2026-06-26
9.0,37.0,82783.0,BANCO BISA,2026-06-26
9.05,0.0,0.0,BANCO BISA,2026-06-26
9.1,0.0,0.0,BANCO BISA,2026-06-26
9.15,1.0,14965.0,BANCO BISA,2026-06-26
9.2,1.0,249965.0,BANCO BISA,2026-06-26
9.32,0.0,0.0,BANCO BISA,2026-06-26
9.5,5.0,43654.0,BANCO BISA,2026-06-26
9.6,3.0,220425.0,BANCO BISA,2026-06-26
9.63,0.0,0.0,BANCO BISA,2026-06-26
9.65,1.0,5507.0,BANCO BISA,2026-06-26
9.7,7.0,14864.0,BANCO BISA,2026-06-26
9.715,1.0,60000.0,BANCO BISA,2026-06-26
9.73,0.0,0.0,BANCO BISA,2026-06-26
9.74,0.0,0.0,BANCO BISA,2026-06-26
9.75,8.0,146317.0,BANCO BISA,2026-06-26
9.76,1.0,1054.0,BANCO BISA,2026-06-26
9.78,3.0,591315.0,BANCO BISA,2026-06-26
9.8,3.0,3717.0,BANCO BISA,2026-06-26
9.81,1.0,500000.0,BANCO BISA,2026-06-26
9.812,1.0,2000000.0,BANCO BISA,2026-06-26
9.82,0.0,0.0,BANCO BISA,2026-06-26
7.0,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
7.01,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
7.2,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
7.5,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
8.0,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
8.2,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
8.4,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
8.5,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
8.7,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
8.85,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.0,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.05,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.1,2.0,2379.0,BANCO DE CRÉDITO,2026-06-26
9.15,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.2,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.32,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.5,13.0,19102.0,BANCO DE CRÉDITO,2026-06-26
9.6,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.63,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.65,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.7,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.715,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.73,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.74,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.75,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.76,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.78,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.8,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.81,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.812,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
9.82,0.0,0.0,BANCO DE CRÉDITO,2026-06-26
7.0,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
7.01,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
7.2,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
7.5,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
8.0,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
8.2,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
8.4,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
8.5,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
8.7,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
8.85,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.0,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.05,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.1,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.15,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.2,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.32,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.5,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.6,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.63,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.65,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.7,1.0,7425.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.715,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.73,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.74,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.75,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.76,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.78,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.8,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.81,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.812,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
9.82,0.0,0.0,BANCO DE LA NACIÓN ARGENTINA,2026-06-26
7.0,0.0,0.0,BANCO ECONÓMICO,2026-06-26
7.01,0.0,0.0,BANCO ECONÓMICO,2026-06-26
7.2,4.0,10107.0,BANCO ECONÓMICO,2026-06-26
7.5,0.0,0.0,BANCO ECONÓMICO,2026-06-26
8.0,0.0,0.0,BANCO ECONÓMICO,2026-06-26
8.2,0.0,0.0,BANCO ECONÓMICO,2026-06-26
8.4,0.0,0.0,BANCO ECONÓMICO,2026-06-26
8.5,0.0,0.0,BANCO ECONÓMICO,2026-06-26
8.7,0.0,0.0,BANCO ECONÓMICO,2026-06-26
8.85,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.0,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.05,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.1,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.15,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.2,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.32,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.5,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.6,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.63,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.65,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.7,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.715,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.73,1.0,2000000.0,BANCO ECONÓMICO,2026-06-26
9.74,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.75,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.76,1.0,40000.0,BANCO ECONÓMICO,2026-06-26
9.78,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.8,4.0,1144025.0,BANCO ECONÓMICO,2026-06-26
9.81,1.0,2000000.0,BANCO ECONÓMICO,2026-06-26
9.812,0.0,0.0,BANCO ECONÓMICO,2026-06-26
9.82,0.0,0.0,BANCO ECONÓMICO,2026-06-26
7.0,0.0,0.0,BANCO FIE,2026-06-26
7.01,0.0,0.0,BANCO FIE,2026-06-26
7.2,0.0,0.0,BANCO FIE,2026-06-26
7.5,0.0,0.0,BANCO FIE,2026-06-26
8.0,0.0,0.0,BANCO FIE,2026-06-26
8.2,0.0,0.0,BANCO FIE,2026-06-26
8.4,0.0,0.0,BANCO FIE,2026-06-26
8.5,0.0,0.0,BANCO FIE,2026-06-26
8.7,0.0,0.0,BANCO FIE,2026-06-26
8.85,0.0,0.0,BANCO FIE,2026-06-26
9.0,0.0,0.0,BANCO FIE,2026-06-26
9.05,0.0,0.0,BANCO FIE,2026-06-26
9.1,0.0,0.0,BANCO FIE,2026-06-26
9.15,0.0,0.0,BANCO FIE,2026-06-26
9.2,0.0,0.0,BANCO FIE,2026-06-26
9.32,0.0,0.0,BANCO FIE,2026-06-26
